Vin,Vd,Id
-1.000000000000000e+01,-5.946385e+00,-4.053615e+00
-9.900000000000000e+00,-5.925696e+00,-3.974304e+00
-9.800000000000001e+00,-5.904979e+00,-3.895020e+00
-9.699999999999999e+00,-5.884255e+00,-3.815744e+00
-9.600000000000000e+00,-5.863516e+00,-3.736484e+00
-9.500000000000000e+00,-5.842762e+00,-3.657238e+00
-9.400000000000000e+00,-5.821990e+00,-3.578009e+00
-9.300000000000001e+00,-5.801202e+00,-3.498797e+00
-9.199999999999999e+00,-5.780396e+00,-3.419604e+00
-9.100000000000000e+00,-5.759572e+00,-3.340428e+00
-9.000000000000000e+00,-5.738727e+00,-3.261273e+00
-8.900000000000000e+00,-5.717863e+00,-3.182138e+00
-8.800000000000001e+00,-5.696976e+00,-3.103024e+00
-8.699999999999999e+00,-5.676067e+00,-3.023933e+00
-8.600000000000000e+00,-5.655134e+00,-2.944866e+00
-8.500000000000000e+00,-5.634176e+00,-2.865824e+00
-8.400000000000000e+00,-5.613191e+00,-2.786809e+00
-8.300000000000001e+00,-5.592179e+00,-2.707821e+00
-8.199999999999999e+00,-5.571136e+00,-2.628863e+00
-8.100000000000000e+00,-5.550063e+00,-2.549937e+00
-8.000000000000000e+00,-5.528956e+00,-2.471044e+00
-7.900000000000000e+00,-5.507814e+00,-2.392186e+00
-7.800000000000000e+00,-5.486634e+00,-2.313366e+00
-7.699999999999999e+00,-5.465414e+00,-2.234586e+00
-7.600000000000000e+00,-5.444150e+00,-2.155850e+00
-7.500000000000000e+00,-5.422840e+00,-2.077160e+00
-7.400000000000000e+00,-5.401481e+00,-1.998519e+00
-7.300000000000000e+00,-5.380067e+00,-1.919933e+00
-7.199999999999999e+00,-5.358596e+00,-1.841404e+00
-7.100000000000000e+00,-5.337062e+00,-1.762938e+00
-7.000000000000000e+00,-5.315459e+00,-1.684541e+00
-6.900000000000000e+00,-5.293781e+00,-1.606219e+00
-6.800000000000000e+00,-5.272022e+00,-1.527978e+00
-6.699999999999999e+00,-5.250171e+00,-1.449829e+00
-6.600000000000000e+00,-5.228221e+00,-1.371779e+00
-6.500000000000000e+00,-5.206159e+00,-1.293841e+00
-6.400000000000000e+00,-5.183972e+00,-1.216028e+00
-6.300000000000000e+00,-5.161645e+00,-1.138355e+00
-6.199999999999999e+00,-5.139158e+00,-1.060842e+00
-6.100000000000000e+00,-5.116489e+00,-9.835110e-01
-6.000000000000000e+00,-5.093608e+00,-9.063915e-01
-5.899999999999999e+00,-5.070482e+00,-8.295184e-01
-5.800000000000000e+00,-5.047063e+00,-7.529367e-01
-5.700000000000000e+00,-5.023295e+00,-6.767049e-01
-5.600000000000000e+00,-4.999100e+00,-6.009001e-01
-5.500000000000000e+00,-4.974372e+00,-5.256278e-01
-5.399999999999999e+00,-4.948964e+00,-4.510365e-01
-5.300000000000000e+00,-4.922656e+00,-3.773440e-01
-5.199999999999999e+00,-4.895113e+00,-3.048870e-01
-5.100000000000000e+00,-4.865781e+00,-2.342191e-01
-5.000000000000000e+00,-4.833670e+00,-1.663299e-01
-4.899999999999999e+00,-4.796566e+00,-1.034344e-01
-4.800000000000000e+00,-4.750148e+00,-4.985170e-02
-4.699999999999999e+00,-4.684950e+00,-1.505031e-02
-4.600000000000000e+00,-4.596611e+00,-3.389313e-03
-4.500000000000000e+00,-4.498629e+00,-1.371411e-03
-4.399999999999999e+00,-4.399076e+00,-9.233076e-04
-4.300000000000000e+00,-4.299300e+00,-6.996800e-04
-4.199999999999999e+00,-4.199461e+00,-5.394942e-04
-4.100000000000000e+00,-4.099583e+00,-4.169248e-04
-4.000000000000000e+00,-3.999678e+00,-3.222760e-04
-3.899999999999999e+00,-3.899751e+00,-2.491072e-04
-3.800000000000000e+00,-3.799808e+00,-1.925409e-04
-3.699999999999999e+00,-3.699851e+00,-1.488131e-04
-3.600000000000000e+00,-3.599885e+00,-1.150123e-04
-3.500000000000000e+00,-3.499911e+00,-8.888634e-05
-3.399999999999999e+00,-3.399931e+00,-6.869346e-05
-3.300000000000000e+00,-3.299947e+00,-5.308681e-05
-3.199999999999999e+00,-3.199959e+00,-4.102507e-05
-3.100000000000000e+00,-3.099968e+00,-3.170323e-05
-3.000000000000000e+00,-2.999975e+00,-2.449901e-05
-2.899999999999999e+00,-2.899981e+00,-1.893143e-05
-2.800000000000000e+00,-2.799985e+00,-1.462871e-05
-2.699999999999999e+00,-2.699989e+00,-1.130351e-05
-2.600000000000000e+00,-2.599991e+00,-8.733773e-06
-2.500000000000000e+00,-2.499993e+00,-6.747861e-06
-2.399999999999999e+00,-2.399995e+00,-5.213135e-06
-2.300000000000000e+00,-2.299996e+00,-4.027087e-06
-2.199999999999999e+00,-2.199997e+00,-3.110499e-06
-2.100000000000000e+00,-2.099998e+00,-2.402149e-06
-2.000000000000000e+00,-1.999998e+00,-1.854722e-06
-1.900000000000000e+00,-1.899999e+00,-1.431658e-06
-1.799999999999999e+00,-1.799999e+00,-1.104699e-06
-1.699999999999999e+00,-1.699999e+00,-8.520083e-07
-1.600000000000000e+00,-1.599999e+00,-6.567123e-07
-1.500000000000000e+00,-1.500000e+00,-5.057695e-07
-1.400000000000000e+00,-1.400000e+00,-3.891021e-07
-1.299999999999999e+00,-1.300000e+00,-2.989218e-07
-1.199999999999999e+00,-1.200000e+00,-2.292101e-07
-1.100000000000000e+00,-1.100000e+00,-1.753155e-07
-1.000000000000000e+00,-9.999999e-01,-1.336438e-07
-9.000000000000004e-01,-8.999999e-01,-1.014170e-07
-7.999999999999989e-01,-8.000000e-01,-7.648848e-08
-6.999999999999993e-01,-6.999999e-01,-5.719907e-08
-5.999999999999996e-01,-6.000000e-01,-4.226657e-08
-5.000000000000000e-01,-5.000000e-01,-3.069990e-08
-3.999999999999986e-01,-4.000000e-01,-2.173246e-08
-2.999999999999989e-01,-3.000000e-01,-1.476799e-08
-1.999999999999993e-01,-2.000000e-01,-9.321703e-09
-9.999999999999964e-02,-9.999999e-02,-4.864739e-09
0.000000000000000e+00,0.000000e+00,0.000000e+00
1.000000000000014e-01,9.999999e-02,1.262197e-08
2.000000000000011e-01,1.999999e-01,7.785335e-08
3.000000000000007e-01,2.999995e-01,4.698067e-07
4.000000000000004e-01,3.999972e-01,2.817761e-06
5.000000000000000e-01,4.999835e-01,1.644010e-05
6.000000000000014e-01,5.999034e-01,9.661586e-05
7.000000000000011e-01,6.991389e-01,8.610545e-04
8.000000000000007e-01,7.860795e-01,1.392054e-02
9.000000000000004e-01,8.381219e-01,6.187810e-02
1.000000000000000e+00,8.733304e-01,1.266696e-01
1.100000000000001e+00,9.027006e-01,1.972994e-01
1.200000000000001e+00,9.295104e-01,2.704897e-01
1.300000000000001e+00,9.545639e-01,3.454361e-01
1.400000000000000e+00,9.786806e-01,4.213194e-01
1.500000000000000e+00,1.002172e+00,4.978284e-01
1.600000000000001e+00,1.025184e+00,5.748160e-01
1.700000000000001e+00,1.047828e+00,6.521715e-01
1.800000000000001e+00,1.070184e+00,7.298161e-01
1.900000000000000e+00,1.092306e+00,8.076935e-01
2.000000000000000e+00,1.114237e+00,8.857626e-01
2.100000000000001e+00,1.136008e+00,9.639920e-01
2.200000000000001e+00,1.157643e+00,1.042357e+00
2.300000000000001e+00,1.179160e+00,1.120839e+00
2.400000000000000e+00,1.200577e+00,1.199423e+00
2.500000000000000e+00,1.221905e+00,1.278095e+00
2.600000000000001e+00,1.243154e+00,1.356846e+00
2.700000000000001e+00,1.264333e+00,1.435666e+00
2.800000000000001e+00,1.285451e+00,1.514549e+00
2.900000000000000e+00,1.306512e+00,1.593488e+00
3.000000000000000e+00,1.327522e+00,1.672478e+00
3.100000000000001e+00,1.348486e+00,1.751514e+00
3.200000000000001e+00,1.369407e+00,1.830593e+00
3.300000000000001e+00,1.390290e+00,1.909710e+00
3.400000000000000e+00,1.411138e+00,1.988862e+00
3.500000000000000e+00,1.431952e+00,2.068048e+00
3.600000000000001e+00,1.452736e+00,2.147264e+00
3.700000000000001e+00,1.473492e+00,2.226508e+00
3.800000000000001e+00,1.494222e+00,2.305778e+00
3.900000000000000e+00,1.514927e+00,2.385073e+00
4.000000000000000e+00,1.535609e+00,2.464391e+00
4.100000000000001e+00,1.556270e+00,2.543730e+00
4.200000000000001e+00,1.576910e+00,2.623090e+00
4.300000000000001e+00,1.597532e+00,2.702468e+00
4.400000000000000e+00,1.618135e+00,2.781865e+00
4.500000000000000e+00,1.638722e+00,2.861278e+00
4.600000000000001e+00,1.659292e+00,2.940708e+00
4.700000000000001e+00,1.679848e+00,3.020152e+00
4.800000000000001e+00,1.700389e+00,3.099611e+00
4.900000000000000e+00,1.720917e+00,3.179084e+00
5.000000000000000e+00,1.741431e+00,3.258569e+00
5.100000000000001e+00,1.761933e+00,3.338067e+00
5.200000000000001e+00,1.782423e+00,3.417577e+00
5.300000000000001e+00,1.802903e+00,3.497097e+00
5.400000000000000e+00,1.823371e+00,3.576629e+00
5.500000000000000e+00,1.843829e+00,3.656171e+00
5.600000000000001e+00,1.864277e+00,3.735723e+00
5.700000000000001e+00,1.884716e+00,3.815284e+00
5.800000000000001e+00,1.905146e+00,3.894854e+00
5.900000000000000e+00,1.925567e+00,3.974433e+00
6.000000000000000e+00,1.945980e+00,4.054020e+00
6.100000000000001e+00,1.966385e+00,4.133615e+00
6.199999999999999e+00,1.986782e+00,4.213218e+00
6.300000000000001e+00,2.007172e+00,4.292828e+00
6.400000000000002e+00,2.027554e+00,4.372446e+00
6.500000000000000e+00,2.047930e+00,4.452070e+00
6.600000000000001e+00,2.068299e+00,4.531701e+00
6.699999999999999e+00,2.088662e+00,4.611338e+00
6.800000000000001e+00,2.109018e+00,4.690982e+00
6.900000000000002e+00,2.129369e+00,4.770631e+00
7.000000000000000e+00,2.149713e+00,4.850287e+00
7.100000000000001e+00,2.170052e+00,4.929948e+00
7.199999999999999e+00,2.190386e+00,5.009614e+00
7.300000000000001e+00,2.210714e+00,5.089286e+00
7.400000000000002e+00,2.231037e+00,5.168962e+00
