prad_1,moc_1,napiecie_1,prad_2,moc_2,napiecie_2,prad_3,moc_3,napiecie_3,prad_4,moc_4,napiecie_4
0,0,0.59502,0,0,0.58154,0,0,0.56683,0,0,0.54539
0.2984,0,0.73045,0.2984,0,0.71881,0.2984,0,0.70532,0.2984,0,0.69491
0.59681,0,0.7568,0.59681,0,0.74454,0.59681,0,0.73351,0.59681,0,0.72248
0.89521,0,0.77334,0.89521,0,0.76293,0.89521,0,0.75251,0.89521,0,0.73964
1.1936,0,0.78621,1.1936,0,0.77641,1.1936,5.1066e-07,0.76477,1.1936,0,0.75006
1.492,0,0.79969,1.492,0,0.78621,1.492,0,0.77457,1.492,0,0.76538
1.7904,0,0.81073,1.7904,5.1066e-07,0.79847,1.7904,0,0.78866,1.7904,0,0.77702
2.0888,0,0.81992,2.0888,0,0.81134,2.0888,5.1066e-07,0.79908,2.0888,0,0.78866
2.3872,0,0.82972,2.3872,0,0.81869,2.3872,5.1066e-07,0.80705,2.3872,0,0.79663
2.6856,5.1066e-07,0.84136,2.6856,0,0.82727,2.6856,0,0.81624,2.6856,5.1066e-07,0.80521
2.984,0,0.84933,2.984,0,0.83769,2.984,0,0.82604,2.984,0,0.8144
3.2824,0,0.85791,3.2824,0,0.84688,3.2824,0,0.83524,3.2824,0,0.82298
3.5808,5.1066e-07,0.86588,3.5808,5.1066e-07,0.85423,3.5808,0,0.8432,3.5808,0,0.83033
3.8792,0,0.87446,3.8792,0,0.8622,3.8792,0,0.84994,3.8792,5.1066e-07,0.83953
4.1777,0,0.88181,4.1777,0,0.872,4.1777,0,0.85975,4.1777,0,0.84688
4.4761,0,0.88916,4.4761,0,0.87936,4.4761,0,0.86771,4.4761,0,0.8573
4.7745,0,0.8959,4.7745,0,0.8861,4.7745,0,0.87446,4.7745,5.1066e-07,0.86404
5.0729,5.1066e-07,0.90632,5.0729,0,0.89284,5.0729,0,0.88181,5.0729,0,0.87078
5.3713,5.1066e-07,0.91061,5.3713,0,0.90203,5.3713,5.1066e-07,0.891,5.3713,0,0.87875
5.6697,0,0.92041,5.6697,0,0.90938,5.6697,0,0.89958,5.6697,0,0.88487
5.9681,5.1066e-07,0.92716,5.9681,0,0.91306,5.9681,0,0.9051,5.9681,0,0.89223
6.2665,0,0.93635,6.2665,0,0.92348,6.2665,0,0.91184,6.2665,0,0.90081
